11 46
0 2 -28
0 7 98
0 8 115
1 0 68
1 4 19
1 7 1
2 3 90
2 4 77
2 5 4
2 6 19
2 7 107
2 8 14
2 10 39
3 0 113
3 5 86
3 6 66
3 7 -20
4 0 58
4 3 9
4 7 -29
4 10 117
5 0 91
5 1 39
5 4 73
5 8 13
5 10 71
6 0 119
6 1 111
6 4 -15
7 5 29
7 8 58
8 1 -15
8 3 43
8 4 69
8 9 67
9 0 35
9 1 -12
9 4 13
9 5 44
9 6 -15
9 7 117
10 0 61
10 1 42
10 6 -29
10 7 1
10 9 116

8 25
0 4 82
0 6 111
0 7 -13
1 0 27
1 3 76
1 5 105
1 7 118
2 0 -4
2 1 26
2 3 78
2 5 -7
2 6 59
3 5 105
4 1 65
4 2 9
4 3 2
5 0 69
5 4 63
6 1 78
6 4 -1
6 5 13
7 3 29
7 4 89
7 5 39
7 6 30

9 27
0 1 33
0 3 -19
0 6 -7
0 7 76
0 8 101
1 3 21
1 6 46
1 8 83
2 5 106
3 6 100
4 0 79
4 1 3
4 2 -16
4 3 -16
4 6 119
4 7 -4
5 1 112
5 4 -1
5 6 31
6 2 -1
6 8 77
7 3 36
7 5 44
8 2 44
8 3 25
8 4 89
8 7 14

10 39
0 9 112
1 0 109
1 2 101
1 4 -10
1 5 111
1 7 -19
1 8 51
1 9 115
2 0 52
2 3 83
2 5 56
2 8 104
2 9 115
3 0 68
3 1 109
3 8 6
3 9 -27
4 0 64
4 3 100
4 5 75
4 6 17
4 8 46
5 0 36
5 9 85
6 1 102
6 2 30
6 3 20
6 5 92
6 8 -17
7 0 9
7 2 102
7 3 114
7 4 -8
7 6 45
8 0 -12
9 4 60
9 6 68
9 7 111
9 8 -23

8 5
2 5 4
4 2 68
5 6 -20
6 3 -18
7 2 13

12 57
0 2 38
0 3 1
0 4 73
0 8 50
0 11 -28
1 0 27
1 5 110
1 7 97
1 8 -16
1 10 -26
2 1 53
2 6 -17
3 1 57
3 2 75
3 9 76
3 10 -7
3 11 55
4 1 -14
4 3 39
4 7 87
4 10 -22
5 0 34
5 2 -3
5 3 2
5 4 55
5 6 56
5 7 -13
5 11 18
6 0 78
6 3 119
6 4 -10
6 7 -7
6 8 115
6 9 -2
7 0 45
7 2 24
7 3 108
7 9 40
8 4 111
8 7 -1
8 9 -9
9 1 -25
9 2 54
9 4 -12
9 5 84
10 2 59
10 5 58
10 6 13
10 7 -4
10 9 94
11 1 -15
11 2 -6
11 4 116
11 6 112
11 7 8
11 9 40
11 10 11

11 10
0 1 14
1 8 80
3 0 70
3 4 37
4 7 100
5 6 8
5 9 -8
6 8 103
8 2 4
10 7 54

15 35
0 1 13
0 7 44
0 10 77
1 3 -23
1 9 113
2 1 73
2 3 65
2 6 107
2 11 -6
3 4 78
3 5 17
3 10 117
4 0 89
4 10 111
4 11 -8
4 12 60
4 14 79
5 1 65
5 13 -20
6 14 -25
7 5 22
7 10 10
7 14 43
8 0 86
8 7 22
9 11 26
10 2 22
10 6 50
10 11 49
10 14 84
11 1 113
11 5 67
12 10 1
12 11 6
13 3 100

5 10
0 1 -11
0 2 103
0 3 7
0 4 -16
1 2 68
1 3 -19
1 4 -11
2 3 33
4 2 39
4 3 -28

12 6
0 11 50
3 0 90
4 6 7
5 8 113
5 9 29
7 11 -12

